,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VMAP,Day_Perc_Change,Trend
327,HINDUNILVR,EQ,2018-09-04,1699.1,1697.0,1697.95,1623.85,1650.7,1651.2,1645.16,3852609,6338164727.75,133996,2373662,61.61,9,2018,1359.4614216432103,-0.028191395444647105,Negative
328,HINDUNILVR,EQ,2018-09-05,1651.2,1643.0,1647.55,1596.0,1606.25,1611.7,1617.43,2693195,4356058163.7,104044,1462667,54.31,9,2018,1361.149368908742,-0.02392199612403101,Negative
329,HINDUNILVR,EQ,2018-09-06,1611.7,1623.45,1636.5,1598.65,1605.0,1608.6,1615.22,2008264,3243793175.1,74991,794149,39.54,9,2018,1362.3780161059665,-0.0019234348824224146,Slight or No change
330,HINDUNILVR,EQ,2018-09-07,1608.6,1611.9,1644.7,1601.0,1632.4,1638.75,1629.77,1571003,2560377919.8,70844,825549,52.55,9,2018,1363.4473301306102,0.018743006340917523,Positive
331,HINDUNILVR,EQ,2018-09-10,1638.75,1632.7,1640.4,1604.0,1614.9,1610.3,1613.62,1423511,2297012825.15,69448,783485,55.04,9,2018,1364.3097385227807,-0.01736079328756679,Negative
332,HINDUNILVR,EQ,2018-09-11,1610.3,1613.0,1624.0,1576.05,1588.05,1590.65,1589.84,2381214,3785750022.15,87065,872045,36.62,9,2018,1365.6247935140218,-0.012202695149971965,Negative
333,HINDUNILVR,EQ,2018-09-12,1590.65,1599.95,1636.9,1587.5,1624.5,1626.85,1619.28,1789295,2897373180.4,97397,866011,48.4,9,2018,1366.7602978035677,0.0227579920158425,Positive
334,HINDUNILVR,EQ,2018-09-14,1626.85,1637.9,1649.0,1612.5,1630.45,1629.3,1623.81,1920969,3119297089.15,99380,1061180,55.24,9,2018,1367.9798069906478,0.0015059778098780452,Slight positive
335,HINDUNILVR,EQ,2018-09-17,1629.3,1620.0,1626.0,1595.0,1605.0,1605.45,1605.71,904395,1452197671.85,38903,460182,50.88,9,2018,1368.4979960868322,-0.014638188178972555,Negative
336,HINDUNILVR,EQ,2018-09-18,1605.45,1622.0,1670.95,1618.0,1664.9,1664.95,1654.67,2932792,4852809015.15,88650,1216505,41.48,9,2018,1370.5810202984042,0.03706126008284283,Among top gainers
337,HINDUNILVR,EQ,2018-09-19,1664.95,1671.0,1678.5,1637.15,1646.2,1647.1,1658.44,1589108,2635432650.0,70524,783187,49.28,9,2018,1371.6298058450654,-0.01072104267395424,Negative
338,HINDUNILVR,EQ,2018-09-21,1647.1,1651.0,1656.9,1606.3,1630.9,1621.3,1625.59,3032792,4930084232.05,104190,1880178,61.99,9,2018,1373.4240656329657,-0.01566389411693281,Negative
339,HINDUNILVR,EQ,2018-09-24,1621.3,1622.05,1639.5,1564.1,1593.0,1590.45,1605.21,1817390,2917283752.15,81146,995678,54.79,9,2018,1374.3546794489312,-0.019027940541540667,Negative
340,HINDUNILVR,EQ,2018-09-25,1590.45,1600.0,1640.0,1577.05,1638.0,1630.85,1615.46,1229970,1986972033.1,60738,636403,51.74,9,2018,1375.0968866693845,0.025401615894872442,Positive
341,HINDUNILVR,EQ,2018-09-26,1630.85,1644.4,1649.0,1598.0,1610.0,1610.75,1610.72,980726,1579677471.9,61278,465915,47.51,9,2018,1375.6393510156129,-0.0123248612686635,Negative
342,HINDUNILVR,EQ,2018-09-27,1610.75,1610.0,1625.0,1603.2,1617.8,1620.1,1617.39,1572603,2543507435.85,58406,945753,60.14,9,2018,1376.5383894642302,0.005804749340369231,Slight positive
343,HINDUNILVR,EQ,2018-09-28,1620.1,1620.1,1627.3,1600.05,1605.7,1608.4,1611.94,1735076,2796845949.1,86109,1212065,69.86,9,2018,1377.475388038824,-0.007221776433553373,Slight negative
344,HINDUNILVR,EQ,2018-10-01,1608.4,1606.5,1652.4,1601.6,1645.0,1642.3,1627.99,1721675,2802873929.25,42960,1063832,61.79,10,2018,1378.5330894050635,0.021076846555583062,Positive
345,HINDUNILVR,EQ,2018-10-03,1642.3,1642.0,1642.05,1606.65,1619.05,1618.85,1625.03,1213562,1972080505.15,66692,668988,55.13,10,2018,1379.2077400240091,-0.014278755404006582,Negative
346,HINDUNILVR,EQ,2018-10-04,1618.85,1600.0,1602.8,1562.1,1582.4,1573.95,1580.24,1544573,2440793507.95,71821,882914,57.16,10,2018,1379.9010896236755,-0.02773573833276699,Negative
347,HINDUNILVR,EQ,2018-10-05,1573.95,1559.5,1574.85,1528.6,1554.0,1558.55,1550.21,1638027,2539286070.4,73851,835073,50.98,10,2018,1380.5730881914517,-0.009784300644874455,Slight negative
348,HINDUNILVR,EQ,2018-10-08,1558.55,1551.0,1570.4,1537.1,1560.0,1559.35,1558.57,1998863,3115360680.4,96128,1280225,64.05,10,2018,1381.38995725755,0.0005132976163741976,Slight positive
